user_id,item_id,rating
1,34,3.7408158779144287
1,247,3.739145278930664
1,244,3.6929666996002197
1,17,3.6917057037353516
1,268,3.690310478210449
1,227,3.689748764038086
1,239,3.6760716438293457
1,3,3.668252944946289
1,68,3.6645452976226807
1,138,3.6610395908355713
1,51,3.6529030799865723
1,131,3.6494555473327637
1,130,3.648831367492676
1,141,3.646066188812256
1,214,3.645904064178467
1,251,3.6435892581939697
1,124,3.6416265964508057
1,126,3.6413164138793945
1,190,3.623758316040039
1,245,3.6211233139038086
1,58,3.6188294887542725
1,255,3.616999864578247
1,1,3.6158607006073
1,207,3.615816831588745
1,74,3.6153628826141357
1,111,3.6112494468688965
1,64,3.610502243041992
1,15,3.6100125312805176
1,164,3.6045689582824707
1,172,3.6042227745056152
1,87,3.6016902923583984
1,92,3.600682497024536
1,104,3.59989857673645
1,218,3.596590042114258
1,24,3.5935282707214355
1,7,3.5932774543762207
1,84,3.592442512512207
1,260,3.5889663696289062
1,156,3.5828278064727783
1,221,3.5827198028564453
1,108,3.5825161933898926
1,135,3.579897165298462
1,148,3.5796163082122803
1,12,3.579568386077881
1,98,3.578313112258911
1,140,3.575868844985962
1,167,3.5755648612976074
1,132,3.5744385719299316
1,55,3.572260856628418
1,254,3.571361541748047
1,27,3.5684473514556885
1,101,3.567492961883545
1,228,3.566312313079834
1,143,3.5662665367126465
1,21,3.565518856048584
1,144,3.5640511512756348
1,241,3.5632638931274414
1,11,3.5620875358581543
1,115,3.5605087280273438
1,240,3.5587592124938965
1,181,3.558412551879883
1,109,3.558274030685425
1,196,3.5576581954956055
1,137,3.557554244995117
1,28,3.555133819580078
1,37,3.5548441410064697
1,204,3.5539324283599854
1,206,3.5536909103393555
1,150,3.553105115890503
1,73,3.553039789199829
1,4,3.5521843433380127
1,205,3.551832437515259
1,62,3.5499603748321533
1,252,3.5496466159820557
1,43,3.5483474731445312
1,157,3.5480473041534424
1,118,3.545719623565674
1,270,3.545501232147217
1,267,3.54524302482605
1,163,3.545215368270874
1,213,3.5440433025360107
1,52,3.543639898300171
1,151,3.5431838035583496
1,175,3.5431764125823975
1,77,3.5424394607543945
1,136,3.541933298110962
1,45,3.5405139923095703
1,85,3.539903163909912
1,170,3.539255380630493
1,220,3.5373711585998535
1,29,3.5373246669769287
1,100,3.536620616912842
1,42,3.536360740661621
1,201,3.5356287956237793
1,145,3.534273624420166
1,40,3.532932758331299
1,91,3.5324835777282715
1,262,3.531245231628418
1,153,3.531015157699585
1,154,3.530048131942749
1,13,3.529402017593384
1,200,3.529210090637207
1,102,3.527606248855591
1,208,3.5265512466430664
1,79,3.5258774757385254
1,54,3.5229156017303467
1,86,3.5217959880828857
1,179,3.5216588973999023
1,203,3.5212578773498535
