user_id   course_id   course_name   recommend_value
104280188776 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
110734254224 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
126115046559 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
1314 1017310732285526016 漫话个人理财 1.00000
1314 1017321932620709888 服务的黄金法则 1.00000
1314 1018692799677726720 保险科技导论 1.00000
1314 1023742438319878144 六顶思考帽 1.00000
1314 1042233253454807040 萃取前的准备工作：磨刀不误砍柴工 1.00000
1314 1042239536421535744 最佳萃取这样做：萃取六步法（上）圈定范围 1.00000
1314 1052392172218830848 纠结的“宝贝计划”（理财与保险+儿童统一保单） 1.00000
1314 1054245158323343360 做好关键页面，你就完成了课程的90% 1.00000
1314 1054254917919289344 应对缺勤 1.00000
1314 1054633019174379520 “持久战”视角下的中国经济增长战略 1.00000
1314 1060796618108203008 唯一能保全预期财富的工具 1.00000
1314 1062648166480207872 顶尖销售6步法 1.00000
1314 1086836602015825920 VC投资的特点和秘诀 1.00000
1314 1086838981507399680 以创新为使命的HR管理 1.00000
1314 1111451580638969856 投资风险管理 1.00000
1314 1111464980064522240 基金国际化的发展概况 1.00000
182776712051 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
224597752303 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
47056935771 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
499188900 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
82462094800 1293838197034524672 六部委关于进一步规范信贷融资收费降低企业融资综合成本的政策解读及违规行为案例分析 1.00000
